model,k,recall,hitrate,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.07243310516490355,0.07243310516490355,0.03736317699067245,0.02683374324631321,0.02683374324631321,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12109520846297449,0.12109520846297449,0.04957627313913575,0.03013547521996911,0.03013547521996911,8035
final_retrieval_two_tower_faiss_hybrid,50,0.22588674548848786,0.22588674548848786,0.0701759122054146,0.03336232482413532,0.03336232482413532,8035
final_ranker_two_tower_hybrid,10,0.08226509023024269,0.08226509023024269,0.040042936073283734,0.027428660325362206,0.027428660325362206,8035
final_ranker_two_tower_hybrid,20,0.13378967019290602,0.13378967019290602,0.05301663170656133,0.030962882606865666,0.030962882606865666,8035
final_ranker_two_tower_hybrid,50,0.2385812072184194,0.2385812072184194,0.07372402659146433,0.03425254363041694,0.03425254363041694,8035
final_ranker_ensemble,10,0.0821406347230865,0.0821406347230865,0.039159789099185376,0.026153682796495478,0.026153682796495478,8035
final_ranker_ensemble,20,0.13727442439327942,0.13727442439327942,0.05297104671713612,0.02987775307398147,0.02987775307398147,8035
final_ranker_ensemble,50,0.24567517112632234,0.24567517112632234,0.07433292666165468,0.03324981580314952,0.03324981580314952,8035
